series_animedb_id,Anime Title,Anime Type,Episode Count,Watched Episodes,My Start Date,My Finish Date,My Score,My Status,Tags
42963,"Kanojo, Okarishimasu 2nd Season",TV,12,3,05-07-2022,0000-00-00,5,Dropped,Even the fan service isn't worth it anymore. The most trash ass characters ever created.
35860,Karakai Jouzu no Takagi-san,TV,12,12,24-02-2020,06-03-2020,8,Completed,
38993,Karakai Jouzu no Takagi-san 2,TV,12,12,13-03-2020,14-03-2020,8,Completed,
49721,Karakai Jouzu no Takagi-san 3,TV,12,12,09-01-2022,26-03-2022,9,Completed,
49722,Karakai Jouzu no Takagi-san Movie,Movie,1,1,27-06-2023,27-06-2023,9,Completed,
57217,Katsute Mahou Shoujo to Aku wa Tekitai shiteita.,TV,12,0,0000-00-00,0000-00-00,0,Plan to Watch,
37965,Kaze ga Tsuyoku Fuiteiru,TV,23,23,04-08-2020,08-08-2020,9,Completed,
40908,Kemono Jihen,TV,12,12,11-01-2021,29-03-2021,7,Completed,
33,Kenpuu Denki Berserk,TV,25,0,0000-00-00,0000-00-00,0,Plan to Watch,
38000,Kimetsu no Yaiba,TV,26,26,18-05-2019,28-09-2019,9,Completed,Goddamn what beautiful animation!
59192,Kimetsu no Yaiba Movie: Mugen Jou-hen,Movie,3,0,0000-00-00,0000-00-00,0,Plan to Watch,
40456,Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie,1,1,19-06-2021,19-06-2021,10,Completed,
55701,Kimetsu no Yaiba: Hashira Geiko-hen,TV,8,8,21-05-2024,01-07-2024,0,Completed,
51019,Kimetsu no Yaiba: Katanakaji no Sato-hen,TV,11,11,11-04-2023,19-06-2023,9,Completed,
49926,Kimetsu no Yaiba: Mugen Ressha-hen,TV,7,7,11-10-2021,29-11-2021,9,Completed,
47778,Kimetsu no Yaiba: Yuukaku-hen,TV,11,11,07-12-2021,14-02-2022,10,Completed,
54714,Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo,TV,12,0,0000-00-00,0000-00-00,0,Plan to Watch,
